Generated points:
Time elapsed: 1.7316ms
(1.9739538725159502, -2.443988142476576, 999.9950652018582)
(0.5712903857357995, 9.407307632397922, 999.9555871089499)
(-11.275534057638705, -10.935362309920494, 999.8766324816606)
(21.97946498773443, 0.6601361909088009, 999.758204436984)
(-21.43870402381279, 18.428426826286255, 999.6003076502566)
(4.160290524613444, -34.29925366736342, 999.4029483549729)
(23.701829338562394, 33.2454398224897, 999.1661343425401)
(-46.057936846869026, -9.88352932255048, 998.88987496197)
(46.09380798397148, -26.92518648101057, 998.5741811195098)
(-17.746705422231777, 56.95394772752478, 998.2190652782118)
(-27.96073919722579, -59.70244156474101, 997.8245414574415)
(66.69717664723827, 27.630188670394077, 997.3906252323237)
(-73.77424641547721, 26.70562240914003, 996.917333733128)
(39.379358853794734, -75.01312233046319, 996.4046856445924)
(23.093520608884255, 88.00049322715348, 995.8527012051857)
(-81.64685659174273, -52.806553447658445, 995.2614022063083)
(102.06507436730809, -17.095860073708955, 994.6308119914323)
(-67.69344760187646, 86.36675391838163, 993.9609554551797)
(-8.72252204268621, -115.64887426236213, 993.2518590423393)
(88.96794002436005, 83.79383869216741, 992.5035507468237)
(-128.4342006589666, -1.9779332331081931, 991.7160601105629)
(100.83680297913196, -89.27541666070746, 990.8894182223387)
(-14.918535961907395, 140.10922327342286, 990.0236577165575)
(-87.14682365296105, -118.53018749577909, 989.1188127719618)
(150.37236612173987, 29.974668444203502, 988.1749191102806)
(-136.5643962762, 82.47480327087672, 987.1920139948191)
(46.98531175986804, -158.93660021821785, 986.1701362289889)
(75.18893657735113, 154.61642648585047, 985.1093261547738)
(-165.53358433282287, -65.75476472341902, 984.0096256511397)
(172.35410696255244, -65.25722629744249, 982.8710781323791)
(-86.0548167745616, 169.9176030979895, 981.6937285463989)
(-52.6871059457921, -189.44048915688387, 980.4776233729444)
(171.8692539353154, 107.62735112287933, 979.2228106217658)
(-205.53833850436467, 37.52596038895971, 977.9293398307218)
(130.18734936860335, -171.19883701070745, 976.5972620638246)
(19.861148640640437, 220.3146728898759, 975.2266299092233)
(-167.7494056904833, -153.42626404195522, 973.8174974771289)
(233.44529409424, 0.18047456857703661, 972.3699203976765)
(-177.0157210865366, 161.39943872884393, 970.883955818731)
(22.43353610920412, -244.61925795480408, 969.3596624036293)
(152.06509962477605, 200.61151031570162, 967.7971003288654)
(-253.54322942732193, -46.69561252750916, 966.1963312817148)
(223.8578183353755, -139.70205319949378, 964.5574184577981)
(-72.72917503111374, 259.94566980360713, 962.8804265585876)
(-124.30681441540641, -246.39165539309994, 961.1654217888519)
(263.58080500677255, 100.26399195572239, 959.4124718540429)
(-267.8474251206871, 105.91760972393728, 957.6216459576223)
(128.99996390288212, -264.2323261370082, 955.7930147983301)
(84.61473674367221, 287.86158420857913, 953.9266505673936)
(-261.71677625141353, -158.61036161619614, 952.0226269456766)
(306.07733771503496, -60.52041376028021, 950.0810191007716)
(-188.74543185587575, 255.8865807037436, 948.101903684032)
(-33.79811635492907, -322.1493149814439, 946.0853588275453)
(246.63268220464664, 219.0363321009728, 944.0314641410498)
(-335.74817101268303, 4.651404333235063, 941.9403007087907)
(249.09935089290306, -233.8867460547079, 939.8119510863196)
(-26.677752016436198, 346.5650586873822, 937.6464992972357)
(-217.62290569768234, -278.5403670932958, 935.4440308298673)
(354.3159182853816, 59.9111315217569, 933.2046326338985)
(-306.9594982901954, 197.85902379763084, 930.9283931169358)
(94.73688713020418, -358.74553254828913, 928.6154021410174)
(174.6574493983585, 333.9558860968678, 926.2657510190667)
(-599.3810998246695, -800.4083166505544, 9.424638433143926)
(982.3794888874307, 186.87073136620162, 3.141587485879429)
(-851.4302942436202, 524.4583724875511, -3.141587485879529)
(275.05133725597796, -961.3833460509406, -9.424638433144025)
(445.14974833203445, 895.3183689296184, -15.707317311820749)
(-932.3421673854875, -360.9079526056389, -21.989376092505236)
(931.6928426769209, -362.14530503526635, -28.270566770273206)
(-443.69553829414383, 895.5113190119279, -34.55064137447228)
(-276.16810782002733, -960.2417092795547, -40.829351978510054)
(851.2160779634422, 522.6970163661499, -47.10645070964278)
(-980.7235175210344, 187.96749022016806, -53.381689758760416)
(597.2299030718558, -799.8485763953629, -59.654821390170696)
(98.3120879651987, 992.9695609104422, -65.92559795137791)
(-741.8641108721488, -666.6526084110088, -72.1937718828607)
(996.8853729964027, -7.982693993376486, -78.45909572784487)
(-730.3703409943707, 677.7768530794377, -84.72132214207343)
(82.23499566744127, -992.4515141734838, -90.98020390356994)
(608.1550042288093, 787.8405609976704, -97.23549392239943)
(-979.7236429376359, -171.5576743598015, -103.48694525042245)
(838.5779285113667, -533.6154409150461, -109.73431109104524)
(-259.2116844962718, 958.831871660339, -115.9773448089614)
(-454.81790520033906, -882.1586996420929, -122.21579993988952)
(929.9794140558761, 344.4401737798697, -128.44943020030297)
(-918.2245282648759, 372.45879616106686, -134.67798949715257)
(426.51007833631627, -893.4405385452469, -140.9012319375827)
(287.2646240389744, 946.4856372682905, -147.11891183863744)
(-849.5578485942369, -504.71886496399264, -153.33078373696077)
(966.7233294587818, -199.9851913899498, -159.53660239848628)
(-578.4009671819166, 798.738917765327, -165.73612282811973)
(-111.38656825802342, -978.7918148865025, -171.9291002794096)
(741.4523135867062, 646.933852917759, -178.11529026421024)
(-456.8875762738447, 313.78614773108353, 832.3412738406635)
(126.96759421131279, -544.8849668978685, 828.8423269047619)
(276.21839366310866, 492.5096097030992, 825.3106586929996)
(-540.9946335379209, -179.04649225142973, 821.7464086295903)
